Image Name,Scan Type(s),Scan Description,Bottom Line,Source URL
image0011.png,CT,F1: CT brain scan.,"Bottom Line:Isolated meningeal recurrence is particularly uncommon, and we present an unusual case of this in a 58-year-old man.The case was further complicated by the somewhat atypical presentation with a confirmed ischaemic stroke.The patient died one month after presentation.",https://openi.nlm.nih.gov/imgs/150/314/2919995/PMC2919995_cro0003-0171-f01.png
image0012.png,"MRI, MR",F2: MRI brain scan.,"Bottom Line:Isolated meningeal recurrence is particularly uncommon, and we present an unusual case of this in a 58-year-old man.The case was further complicated by the somewhat atypical presentation with a confirmed ischaemic stroke.The patient died one month after presentation.",https://openi.nlm.nih.gov/imgs/150/314/2919995/PMC2919995_cro0003-0171-f02.png
image0013.png,"MRI, MR",F1: MRI brain scan (T1 with contrast and FLAIR),Bottom Line:Surgical intervention was recommended because the seizures were resistant to treatment and also because the diagnosis could not be clearly established.Some cases may be difficult to diagnose.Clinical presentation of seizure and brain imaging should be given priority over blood investigations for diagnosing neurocysticercosis and advanced neurosurgical intervention can be considered in suitable cases for better outcome.,https://openi.nlm.nih.gov/imgs/150/71/3263008/PMC3263008_SNI-2-177-g001.png
image0014.png,"CT, MRI, Magnetic resonance, MR","fig02: A, the left panel shows a coronal section through an MRI brain scan. Zooming in progressively further (middle and then right panels), the voxels that make up the scan are evident. B, the left panel shows a schematic diagram of some voxels from a functional magnetic resonance imaging (fMRI) brain scan. The pink line indicates the statistical threshold for activation, with some of the voxels passing the threshold and others not. With this conventional approach to analysing fMRI data, each voxel is considered separately. The right panel shows another view (from overhead) of the same set of voxels. A pattern across voxels is now evident. This focus on patterns of fMRI activity across voxels is known as multi-voxel pattern analysis (MVPA).","Bottom Line:This is because the study of specific neural signatures of autobiographical memories in vivo in humans presents a significant challenge.Here, I describe how the application of 'decoding' techniques to brain-imaging data is beginning to disclose how individual autobiographical memory representations evolve over time, deepening our understanding of systems-level consolidation.In particular, this prompts new questions about the roles of the hippocampus and ventromedial prefrontal cortex and offers new opportunities to interrogate the elusive memory trace that has for so long confounded neuroscientists.",https://openi.nlm.nih.gov/imgs/150/155/4015368/PMC4015368_eph0099-0471-f2.png
image0015.png,"CT, Tomography, Magnetic resonance",F1: Left hand figure: Plain computed tomography scan brain showing calcified cyst of the left parietal cortex (narrow single line arrow) middle figure: CT scan brain showing ring enhancing lesion (transitional cyst) of the right frontal lobe with perilesional edema with scolices from 1 to 6 O’ clock position right hand figure: Magnetic resonance imaging brain (T2-weighted) showing an active cyst (double line black arrow) and transitional cyst demonstrating a scolex as white dot (triangular black arrow head),"Bottom Line:Solitary ring enhancing lesions (transitional stage) involving the parietal lobe was the commonest CT picture at presentation.Generalized tonic-clonic seizure was the most common type of seizure.Number of lesions, persistence of lesion, number of seizures, EEG abnormality at presentation were not found to be prognostically significant (P > 0.05).",https://openi.nlm.nih.gov/imgs/150/18/3841598/PMC3841598_AIAN-16-549-g002.png
image0016.png,CT,F2: Intraoperative photograph showing the lesion next to the cortical incision and postoperative CT brain scan showing successful removal of the lesion,Bottom Line:Surgical intervention was recommended because the seizures were resistant to treatment and also because the diagnosis could not be clearly established.Some cases may be difficult to diagnose.Clinical presentation of seizure and brain imaging should be given priority over blood investigations for diagnosing neurocysticercosis and advanced neurosurgical intervention can be considered in suitable cases for better outcome.,https://openi.nlm.nih.gov/imgs/150/71/3263008/PMC3263008_SNI-2-177-g002.png
image0017.png,"CT, MRI, MR","epi13358-fig-0001: Radiologic and electrographic features. (A) MRI brain scan for patient 1, 7 months of age: Sagittal T1‐weighted and coronal T2‐weighted imaging showing generalized reduction in white matter bulk and marked cerebellar atrophy (yellow arrow) and corpus callosum thinning (blue arrow) with relative sparing of the pons. (B) Last EEG of patient 1, at 6 years of age, continued to show frequent epileptiform activity more prevalent over the posterior regions. (C) MRI brain scan of patient 2, age 6 months: Sagittal T1‐weighted and coronal T2‐weighted imaging shows marked cerebellar atrophy (yellow arrow), thinning of the corpus callosum (blue arrow), relative sparing of the pons, and reduction in white matter bulk. (D) EEG of patient 2, age 5 months: EEG showed frequent bursts of polymorphic high‐amplitude focal sharp delta/theta over both posterior temporal regions with a bias to the right.","Bottom Line:Pontocerebellar hypoplasia is a group of heterogeneous neurodevelopmental disorders characterized by reduced volume of the brainstem and cerebellum.Using whole exome sequencing techniques, both were found to be compound heterozygotes for one previously reported and one novel mutation in the gene encoding mitochondrial arginyl-tRNA synthetase 2 (RARS2).Mutations in this gene have been classically described in pontocerebellar hypoplasia type six (PCH6), a phenotype characterized by early (often intractable) seizures, profound developmental delay, and progressive pontocerebellar atrophy.",https://openi.nlm.nih.gov/imgs/150/222/4864753/PMC4864753_EPI-57-e97-g001.png
image0018.png,"MRI, MR","F2: MRI brain scan performed mid-treatment. The MRI brain scan performed shortly after readmission with acute neurological symptoms, demonstrates a number of ring-enhancing lesions with surrounding oedema which were thought likely to be metastases.","Bottom Line:Cisplatin based combination chemotherapy produced an initial normalisation of the hCG level, but later in treatment the patient developed new cerebral lesions and a rising serum hCG suggestive of disease progression.Further investigations suggested that the CNS lesions were cerebral TB and that the low levels of hCG elevations was likely to be pituitary in origin.In the treatment of cancer patients it may be helpful to consider the potential non-malignant causes of new CNS lesions and that low hCG elevations may result from physiology rather than pathology in selected cases.",https://openi.nlm.nih.gov/imgs/150/352/2909206/PMC2909206_1471-2407-10-338-2.png
image0019.png,"CT, MRI, MR",f0004: MRI brain scan in variant CJD. FLAIR axial section at the level of the basal ganglia showing bilateral symmetrical dorsomedial and pulvinar thalamic hyperintensity. Courtesy of Dr David Summers.,"Bottom Line:To date there have been 177 case reports in the UK and a further 51 cases worldwide in 11 different countries.Following evidence of blood transfusion as a route of transmission, we have ascertained that all blood components and leucoreduced blood in a sheep model of vCJD have the ability to transmit disease.This, along with the recent appendix survey which identified 16 positive appendices in a study of 32,441 cases, underlines the importance of continued CJD surveillance and maintaining control measures already in place to protect human health.",https://openi.nlm.nih.gov/imgs/150/141/4601215/PMC4601215_kprn-08-04-971581-g004.png
image0020.png,"CT, Tomography","f2-dhps-8-009: The CT brain scan showed global brain swelling causing transcalvarial brain herniation (A).Abbreviation: CT, computed tomography.","Bottom Line:The serum IgE level was very high (734 IU/mL).Single-dose administration of cefazolin for surgical prophylaxis may lead to rare, fatal adverse reaction.The warning signs are sudden, unexplained metabolic acidosis, hypertensive crisis, tachycardia, and facial angioedema predominating with or without cutaneous symptoms like urticaria.",https://openi.nlm.nih.gov/imgs/150/232/4755691/PMC4755691_dhps-8-009Fig2.png
image0021.png,CT,"pone-0098391-g005: MWF maps of healthy 3D T2prep adiabatic spiral brain scan acquired at 1.5T.Two axial slices of MWF computed from the second healthy in vivo 3D T2prep adiabatic spiral brain scan acquired at 1.5T, with conventional reconstruction (top), spatial constrained reconstruction (middle) and anatomical T2 weighted images (bottom).","Bottom Line:Due to efficient design, the additional spatial aspect does not cause an increase in processing time.The proposed method was applied to fast spiral acquisitions on which conventional fitting gives uninterpretable results.While these fast acquisitions suffer from noise and inhomogeneity artifacts, our preliminary results indicate the potential of spatially constrained 3-pool T2 relaxometry.",https://openi.nlm.nih.gov/imgs/150/375/4045663/PMC4045663_pone.0098391.g005.png
image0022.png,"CT, Tomography","f02: (A) Patient 2 nuclear magnetic dopaminergic brain scan: subtle left tracer uptake reduction in the putamen. (B) Patient 2 fludeoxyglucose positron emission tomography and computed tomography: reduced metabolic activity in the bilateral insula, perisylvian regions and midline pre-frontal cortex.",No bottom line,https://openi.nlm.nih.gov/imgs/150/40/5409931/PMC5409931_tre-07-455-7522-1-g002.png
image0023.png,CT,F1: Pre-HBOT SPECT brain scan three dimensional surface reconstruction and processed transverse images. Note bilateral orbital frontal and temporal lobe defects and diffuse heterogeneous pattern of blood flow.,"Bottom Line:The patient experienced a permanent marked improvement in his post-concussive symptoms, physical exam findings, and brain blood flow.In addition, he experienced a complete resolution of post-traumatic stress disorder symptoms.After treatment he became and has remained employed for eight consecutive months.",https://openi.nlm.nih.gov/imgs/150/21/2740054/PMC2740054_1757-1626-0002-0000006538-1.png
image0024.png,"CT, PET","f1-etm-08-04-1167: Selected images of the 18F-FDG PET brain scans. (A–D) Prior to treatment with high-dose corticosteroids and plasmapheresis, the scans revealed generalized hypometabolism without significant hypermetabolic foci. A significant asymmetrical reduction in the metabolism between the left and right hemispheres was noted, particularly in the temporal and parietal cortex. (E–H) The metabolic activities of the former areas were normalized following treatment, with the exception of a slightly lower metabolism in the right temporal cortex when compared with the contralateral site.","Bottom Line:If diagnosed early, the initiation of immunotherapy and removal of the tumor (if present) may result in recovery.The patient demonstrated marked recovery following treatment with a high dose of corticosteroids and plasmapheresis.Accordingly, the follow-up (18)F-FDG PET imaging revealed significant improvement.",https://openi.nlm.nih.gov/imgs/150/116/4151669/PMC4151669_ETM-08-04-1167-g00.png
image0025.png,CT,F2: Post-HBOT SPECT brain scan three dimensional surface reconstruction and processed transverse images. Note relative improvement in brain blood flow to bilateral focal frontal and temporal defects and overall normalization of blood flow to a more homogeneous pattern.,"Bottom Line:The patient experienced a permanent marked improvement in his post-concussive symptoms, physical exam findings, and brain blood flow.In addition, he experienced a complete resolution of post-traumatic stress disorder symptoms.After treatment he became and has remained employed for eight consecutive months.",https://openi.nlm.nih.gov/imgs/150/21/2740054/PMC2740054_1757-1626-0002-0000006538-2.png
image0026.png,"CT, Tomography, Magnetic resonance","F1: (a) A computed tomography brain scan showing bilateral basal ganglia calcification; the cerebellum shows prominent folia indicating mild cerebellar atrophy. (b) Axial T2 brain magnetic resonance image scan showing left temporo-parieto occipital ischemic lesion. (c) Axial T2 brain magnetic resonance image scan showing the extension of the parietal temporal region to the occipital lobe, and also showing a right occipital lesion. (d) Magnetic resonance spectroscopy showing inversion of J-coupling phenomenon at 1.3 ppm, indicating lactate peak.","Bottom Line:Additionally, we screened the polymerase gamma-1 nuclear gene for mutations.Sequencing the full mitochondrial genome did not reveal any known or potentially pathogenic sequence changes.The polymerase gamma-1 gene was also free from mutations.",https://openi.nlm.nih.gov/imgs/150/136/2783076/PMC2783076_1752-1947-3-77-1.png
image0027.png,CT,SHORTS-11-044F1: Non-contrast CT brain scan showing a hyperdense middle cerebral artery,No bottom line,https://openi.nlm.nih.gov/imgs/150/11/3291419/PMC3291419_SHORTS-11-04401.png
image0028.png,"CT, Tomography",F1: Normal non-injected computed tomography brain scan.,"Bottom Line:Dementia is one of the most important neurological disorders in the elderly.Cerebral magnetic resonance imaging (MRI) with gadolinium injection highlighted a diffuse tumor-related infiltration involving both lobes, the putamen, the pallidum, the substantia nigra, and the brainstem, corresponding to the specific description and definition of gliomatosis cerebri.This atypical presentation of a gliomatosis cerebri, and the infiltration of the substantia nigra by the tumor, merits attention.",https://openi.nlm.nih.gov/imgs/150/220/2263063/PMC2263063_1752-1947-2-53-1.png
image0029.png,Magnetic resonance,"Fig1:  Axial magnetic resonance imaging brain scan in patient showing hyperintens lesion in thalami, cerebellum, and pons (arrowed)","Bottom Line:A 4-year-old girl presented with fever, coughing, and vomiting; followed by unconsciousness.Novel influenza A (H1N1) virus was identified by polymerase chain reaction in patient's nasopharyngeal swab specimen.We reported a rare case of clinically severe, novel influenza A-associated encephalitis.",https://openi.nlm.nih.gov/imgs/150/149/3356519/PMC3356519_10072_2011_839_Fig1_HTML.png
image0030.png,"CT, MRI, MR",f2-medscimonit-23-1428: MRI brain scan one month after stent implantation. No brain infarction was observed in MRI images.,No bottom line,https://openi.nlm.nih.gov/imgs/150/385/5374988/PMC5374988_medscimonit-23-1428-g002.png
image0031.png,"CT, MRI, Magnetic resonance, MR","f01: Brain Scans and Imaging.In 2009, a perfusional 99mTc-ECD-SPECT brain scan of the patient revealed bilateral hypoperfusion of the visual association cortices (arrows) (A). Brain magnetic resonance imaging revealed hyperintensities of the optical radiations and bilateral parieto-occipital atrophy (B). In 2012, 99mTc-ECD-SPECT revealed an area of perfusional deficit within the post-central right lobule (arrow) (C). MRI revealed atrophy of the post-central parietal lobule (thick arrow) and increased and asymmetric dilatation of the posterior horn of the right lateral ventricle (small arrow) (D).","Bottom Line:We describe a 60-year-old female with simultanagnosia, oculomotor apraxia, and optic ataxia for which she received an initial clinical diagnosis of posterior cortical atrophy.Three years later, she developed Balint's syndrome, Gerstmann's syndrome, left alien hand syndrome, smooth asymmetric (left) rigidity, cortical sensory loss, and spontaneous myoclonic jerks of the left arm, which suggested a final diagnosis of corticobasal syndrome.This case report indicates that corticobasal syndrome may present with visuospatial deficits.",https://openi.nlm.nih.gov/imgs/150/63/4069812/PMC4069812_tre-04-244-5629-1-g001.png
image0032.png,Unknown,"F1: A well-defined, curvilinear T1 (A) and T2 (B) hyperintense lesion is seen in the superior part of the cerebellar vermis. It appears hypointense on T1 fat-saturated images (C), suggestive of lipoma. Superior vermian hypoplasia is also evident.",No bottom line,https://openi.nlm.nih.gov/imgs/150/186/3895901/PMC3895901_ijms-39-77-g001.png
image0033.png,"CT, MRI, PET, MR","fig07: A, a map of the human medial frontal cortex from Petrides & Pandya (1999; reproduced with permission from John Wiley & Sons). Examples of two conventional fMRI studies showing activity associated with autobiographical memory retrieval from Hassabis et al. (2007a2007a) in B and from Summerfield et al. (2009) in C. White arrows indicate the location of the activation in vmPFC that includes part of area 14, ventral parts of 24 and 32, the caudal part of area 10, and also some involvement of area 25. D, the vmPFC region analysed in the MVPA study of Bonnici et al. (2012) included these areas and more, specifically all of areas 14 and 25, ventral parts of areas 10, 24 and 32, and medial parts of area 11. The left panel shows the bounding box within which data were acquired on a T1-weighted structural MRI brain scan, and the right panel shows a close-up of an example T2-weighted structural MRI brain scan with the vmPFC region of interest delineated in orange.","Bottom Line:This is because the study of specific neural signatures of autobiographical memories in vivo in humans presents a significant challenge.Here, I describe how the application of 'decoding' techniques to brain-imaging data is beginning to disclose how individual autobiographical memory representations evolve over time, deepening our understanding of systems-level consolidation.In particular, this prompts new questions about the roles of the hippocampus and ventromedial prefrontal cortex and offers new opportunities to interrogate the elusive memory trace that has for so long confounded neuroscientists.",https://openi.nlm.nih.gov/imgs/150/155/4015368/PMC4015368_eph0099-0471-f7.png
image0034.png,CT,pmed-0020079-g001: CT Brain Scan on Admission Showing an Infarct in the Posterior Right Frontal Lobe,No bottom line,https://openi.nlm.nih.gov/imgs/150/95/1087206/PMC1087206_pmed.0020079.g001.png
image0035.png,"CT, MRI, X-ray, MR","pbio-0050103-g002: Cases Where Brain Anomalies Have, or Have Not, Been Linked to Anti-Social Behaviour(A) Brain scan of patient J. S., who exhibited sociopathic behaviour [5]. The image shows a lesion in the orbital frontal cortex.(B) fMRI sagittal slice of the brain of patient J. Z., showing a lesion that was caused by the resection of pituitary tumour [4]. This lesion led to anti-social conduct, which was not exhibited before the surgery.(C) Orbitofrontal damage associated with symptoms of paedophilia and sexual misconduct in the case of a 40-year-old male patient.(D) Photograph of a patient after head injury (right) and fMRI scan 60 years later showing PFC damage (left) [53]. This patient showed personality changes, but no signs of anti-social conduct.(E) Cranial X-ray of a man who attempted suicide with a crossbow. Although the individual exhibited premorbid APD, the PFC damage caused by the crossbow arrow resulted in reversal of anti-social conduct [54].",No bottom line,https://openi.nlm.nih.gov/imgs/150/328/1852146/PMC1852146_pbio.0050103.g002.png
image0036.png,CT,"fig11219: Computerized Brain Scan, Showing Severe Brain Oedema, Hyper-Dense Area After Injection of Meglumine Diaterizoate","Bottom Line:There are various contrast solutions for different radiographic studies but not all of them are suitable for spinal column evaluation.Our patient was a 60-year-old man who developed severe pain, tonic clonic convulsions and cardiopulmonary arrest after intrathecal injection of 14 mL of meglumine diatrizoate during an elective myelography procedure.Many of these cases would die or suffer from permanent sequelae if appropriate treatment is not received.",https://openi.nlm.nih.gov/imgs/150/349/4082529/PMC4082529_ircmj-16-9661-g001.png
image0037.png,"MRI, MR","F1: (a, c) Sagittal and coronal T1-weighted MRI brain scan showing a sphenoidal sinus tumor. (b, d) Sagittal and coronal contrast-enhanced T1-weighted MRI showing a sphenoidal sinus tumor with heterogeneous contrast enhancement","Bottom Line:MRI did not reveal any sellar floor defect and an empty sella was detected.A transsphenoidal approach without opening the sellar floor was performed using an operating microscope and the lesion within the SS was completely removed.Although intrasphenoidal EPAs are rare findings, the presence of an endocrine disorder related to pituitary hormones, and a space-occupying mass within the SS associated with either a normal sellar pituitary gland or an empty sella must lead us to suspect this diagnosis.",https://openi.nlm.nih.gov/imgs/150/212/3356983/PMC3356983_SNI-3-47-g001.png
image0038.png,"MRI, MR","Fig1: (two cases of SS ) a, diffused livedo racemosa (asterisks); b, FLAIR/T2 MRI brain scan showing multiple ischemic lesions (white arrows) and cortical atrophy (red arrows); c, skin biopsy showed intra-capillary (thin arrow) and parietal (thick arrow) widespread thrombosis; scale bar 100μm (Case1) and 50 μm (Case2). (courtesy of Dr. Alessandro Tessitore).",Bottom Line:The optimal management remains an unsolved problem and long-term anticoagulation have been recommended for cerebral ischemic events based on the presumed pathogenesis.There are controversial results in treatment of SS with immunomodulatory agents.The aim of this review is to comprehensively discuss this disease.,https://openi.nlm.nih.gov/imgs/150/271/4302600/PMC4302600_13023_2014_215_Fig1_HTML.png
image0039.png,Tomography,F6: Case 3: 12-year-old male child presented with generalized tonic-clonic seizures diagnosed with pial arteriovenous fistula. (a and b) Computed tomography scan brain shows a large hematoma in the right temporoparietal region (arrows).,Bottom Line:The treatments were successful with good clinical outcome.We did not encounter any peri-procedural complications in any of the cases.Pial AVF is a rare entity and high degree of suspicion and adequate clinical and imaging knowledge is required to make the diagnosis.,https://openi.nlm.nih.gov/imgs/150/117/4766804/PMC4766804_JCIS-6-2-g006.png
image0040.png,CT,pone-0034444-g002: Flowchart summarizing method to measure craniad muscles cross-sectional areas.,"Bottom Line:The ICC for between scanner variation for total neck muscle CSA was high at 0.94 (CI 0.86-0.98).The external validity study found a correlation coefficient for total thigh CSA and total neck CSA of 0.88.Larger studies are needed to validate and apply our technique with subjects differing in age, ethnicity and geographical location.",https://openi.nlm.nih.gov/imgs/150/72/3317946/PMC3317946_pone.0034444.g002.png
image0041.png,Tomography,F8: Case 3: 12-year-old male child who presented with seizures was diagnosed with pial arteriovenous fistula underwent surgical ligation. (a and b) Postoperative computed tomography scan brain show complete resolution of the hematoma. (c) The scan shows the ligation (arrow).,Bottom Line:The treatments were successful with good clinical outcome.We did not encounter any peri-procedural complications in any of the cases.Pial AVF is a rare entity and high degree of suspicion and adequate clinical and imaging knowledge is required to make the diagnosis.,https://openi.nlm.nih.gov/imgs/150/117/4766804/PMC4766804_JCIS-6-2-g008.png
image0042.png,Unknown,f2: Field of view of the whole-brain resting state scan (red) and prefrontal cortex resting state scan (green).Fields of view of the two scans were overlaid on top of a T1 map for one participant. Note that whole-brain scan does not fully cover the cerebellum and brainstem.,"Bottom Line:Each session includes two 1.5 mm isotropic whole-brain scans and one 0.75 mm isotropic scan of the prefrontal cortex, giving a total of six time-points.Additionally, the dataset includes measures of mood, sustained attention, blood pressure, respiration, pulse, and the content of self-generated thoughts (mind wandering).The dataset is accompanied by a detailed experimental protocol and source code of all stimuli used.",https://openi.nlm.nih.gov/imgs/150/351/4412153/PMC4412153_sdata201454-f2.png
image0043.png,CT,F1: CT scan brain showing large 5×4×4.5 cm abscess in right frontoparietal region with severe mass effect and leptomeningitis. Postdrainage CT scan showing reduction in size of abcess and perilesional edema,"Bottom Line:Mycobacterium avium complex (MAC) is among the most common opportunistic bacterial infections in those patients with advanced immunodeficiency apart from cryptococcal meningitis, progressive multifocal leukoencephalopathy, etc.Common presentations of mycobacterium avium complex are fever, lymphadenitis and respiratory disease.We are reporting a case of advanced acquired immunodeficiency who presented with brain abscess due to Mycobacterium avium intracellulare.",https://openi.nlm.nih.gov/imgs/150/47/3299074/PMC3299074_AIAN-15-54-g001.png
image0044.png,"CT, Tomography","F3: Fluorodeoxyglucose-positron emission tomography brain scan taken on December 28, 2009. Glucose uptake increased diffusely in bilateral basal ganglia and mildly in bilateral thalami, but decreased diffusely in bilateral cerebral hemispheres in both transverse (A) and coronal (B) sections.","Bottom Line:Several cases of acute necrotizing encephalopathy (ANE) with influenza A (H1N1) have been reported to date.The prognosis of ANE associated with H1N1 is variable; some cases resulted in severe neurologic complication, whereas other cases were fatal.We report a case of ANE with H1N1 infection in a 4-year-old Korean girl who rapidly developed fever, seizure, and altered mentality, as well as had neurologic sequelae of ataxia, intentional tremor, strabismus, and dysarthria.",https://openi.nlm.nih.gov/imgs/150/165/3660493/PMC3660493_arm-37-286-g003.png
image0045.png,"CT, Tomography",F1: Post–subarachnoid hemorrhage communicating hydrocephalus diagnosed on axial non–contrast-enhanced computed tomography (CT) brain scan (A) that resolved after placement of a ventriculosternal shunt (B and C). Six-month 3-dimensional reconstructed CT scan of the upper thorax showing the distal catheter in situ (D and E).,"Bottom Line:After placement of the ventricular catheter in the usual manner, the distal end was inserted into the sternum.Cerebrospinal fluid intraosseous absorption by this novel procedure translated into both physical and cognitive recovery.The procedure was tolerable, effective, and durable, with the patient suffering no complications 3 years after the procedure.",https://openi.nlm.nih.gov/imgs/150/162/4892763/PMC4892763_neu-11-371-g001.png
